,lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag
252,-78.64542945,31.4200326,2015-10-10,0.5356000000000001,0.9733,0.3785,0.0488,0.0211,-0.10890000000000001,0.4731,1.0443060566711275
253,-77.15761563,31.70373288,2015-10-11,0.6638000000000001,0.0668,0.3,0.2204,0.0236,-0.014,-0.031200000000000002,0.3073471001978057
254,-76.39527091,31.97361521,2015-10-12,0.7382000000000001,-0.1326,-0.008400000000000001,-0.12710000000000002,0.0212,0.015700000000000002,-0.1529,0.13286579695316625
255,-76.76125501,31.9088749,2015-10-13,0.6982,-0.151,0.1444,0.0061,0.0239,0.025500000000000002,-0.26380000000000003,0.20893147201893736
256,-78.2383264,32.11726635,2015-10-14,0.29660000000000003,-0.0195,0.1328,-0.33,0.0256,0.0805,-0.9832000000000001,0.13422402914530615
257,-78.9683359,32.37766561,2015-10-15,0.2099,0.12710000000000002,0.11850000000000001,-0.0143,0.0273,0.2556,0.0184,0.17377186193397368
258,-78.42952963,32.43684701,2015-10-16,0.222,0.2064,0.2159,-0.0151,0.0275,0.2268,-0.2119,0.29868674225683334
259,-78.46732511,32.1983899,2015-10-17,0.29410000000000003,0.5449,0.1608,-0.266,0.028900000000000002,0.1462,-0.3347,0.5681308388038798
260,-78.3862536,32.25233812,2015-10-18,0.19160000000000002,0.2984,0.276,0.045000000000000005,0.0296,0.19640000000000002,-0.12000000000000001,0.4064708599641554
261,-78.02874625,32.56579533,2015-10-19,0.19690000000000002,0.0748,0.34040000000000004,0.1887,0.031,0.2252,-0.0188,0.34852144840741156
262,-77.91679266,32.69240016,2015-10-20,0.2411,0.1724,0.43410000000000004,0.1442,0.0307,0.23970000000000002,-0.09480000000000001,0.4670809030564192
263,-78.14291185,32.50847895,2015-10-21,0.1729,0.1027,0.34840000000000004,0.1966,0.0281,0.20120000000000002,0.0091,0.3632214889017444
264,-78.30296303,32.30148595,2015-10-22,0.1559,0.39130000000000004,0.30820000000000003,0.07730000000000001,0.0318,0.1607,-0.027,0.4980993174056757
265,-78.05142484,32.56052661,2015-10-23,0.159,0.0886,0.3457,0.19390000000000002,0.024900000000000002,0.1872,-0.005,0.3568731567377967
266,-77.78207118,32.68722519,2015-10-24,0.22340000000000002,0.1872,0.4647,0.1748,0.0344,0.222,-0.0799,0.5009889519739932
267,-77.87972831,32.56592358,2015-10-25,0.20350000000000001,0.2119,0.41200000000000003,0.12200000000000001,0.037700000000000004,0.2021,-0.0553,0.4632986186035957
268,-78.36933856,32.43695128,2015-10-26,0.1262,0.3809,0.2656,0.0346,0.0381,0.131,-0.0375,0.46435780385388165
269,-78.69979103,32.07859409,2015-10-27,0.21630000000000002,0.6621,0.2785,-0.1019,0.043300000000000005,0.13340000000000002,-0.049800000000000004,0.7182887024031493
270,-78.61704601,31.63807209,2015-10-28,0.5978,0.865,0.7975,0.2949,0.0392,0.1027,0.0166,1.1765335736816014
271,-78.37313573,31.37772828,2015-10-29,0.8632000000000001,0.5194,0.3763,0.2024,0.043000000000000003,0.1799,0.16920000000000002,0.6413875973231787
272,-78.10233193,31.41197704,2015-10-30,0.9051,0.4252,0.1889,0.13040000000000002,0.0585,0.21150000000000002,0.2054,0.4652722321394218
273,-77.76636623,31.54092148,2015-10-31,0.8029000000000001,0.8316,0.1938,0.0516,0.069,0.1781,0.40390000000000004,0.8538834815125539
274,-77.11043721,31.94467467,2015-11-01,0.7495,0.5419,0.37160000000000004,0.186,0.028200000000000003,0.10550000000000001,0.328,0.6570709018058859
275,-76.57094564,32.51445542,2015-11-02,0.7575000000000001,0.249,0.659,0.059300000000000005,0.023200000000000002,0.20090000000000002,-0.2102,0.7044728525642419
276,-77.06449197,32.53534487,2015-11-03,0.321,0.3573,1.2189,0.44380000000000003,0.026600000000000002,0.036000000000000004,-0.38020000000000004,1.2701891591412675
277,-77.42529223,32.59558629,2015-11-04,0.11410000000000001,0.2797,0.6368,-0.0091,0.0286,-0.0386,-0.3844,0.6955187488486562
278,-77.61617941,32.68463625,2015-11-05,0.054900000000000004,0.0998,-0.0119,-0.47040000000000004,0.0398,-0.0016,-0.382,0.10050696493278463
279,-77.77231894,32.7425343,2015-11-06,0.1034,-0.1071,-0.2182,-0.5081,0.039,0.10200000000000001,-0.37420000000000003,0.24306717178590778
280,-77.8261063,32.90631604,2015-11-07,0.1839,-0.5507000000000001,-0.35910000000000003,-0.42010000000000003,0.029400000000000003,0.20140000000000002,-0.536,0.6574369171258944
281,-77.7891994,32.74696167,2015-11-08,0.1087,-0.0419,-0.14150000000000001,-0.4315,0.030500000000000003,0.1073,-0.309,0.14757323605586484
